date,method,passed,balance_max_abs_kwh,soc_recurrence_max_abs_kwh,emergency_definition_max_abs_kwh,cost_max_abs_yuan,within_day_soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,charge_discharge_conflicts,charge_emergency_conflicts,source_causal,plan_frozen,solver_method,solver_success,solver_status_code,mip_gap,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,model_max_constraint_violation
2025-08-26,stochastic,True,2.27373675443e-13,4.31654711974e-13,0,0,0,1200,7069.36472583,833.333333333,796.932590476,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,5.44339604485e-05,33,1,576,2880,9.98170435196e-11
2025-08-27,stochastic,True,2.27373675443e-13,4.08562073062e-13,0,0,0,1200,6817.69471331,833.333333333,793.349297619,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,1.0681117158e-05,37,1,576,2880,1.5672412701e-08
2025-08-28,stochastic,True,2.27373675443e-13,3.41060513165e-13,0,0,0,1200,6927.05823167,833.333333333,819.113742857,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00037731335569,34,2,720,2880,1.97246663447e-09
2025-08-29,stochastic,True,1.42108547152e-13,4.54747350886e-13,0,0,0,1469.98709409,10800,833.333333333,585.700316667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.90753429917e-07,35,1,576,2880,1.54614099301e-11
2025-08-30,stochastic,True,1.42108547152e-13,6.8212102633e-13,0,0,0,4861.33823251,10800,833.333333333,556.60997381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.15149697238e-05,32,1,720,2880,6.8212102633e-12
2025-08-31,stochastic,True,1.13686837722e-13,4.33431068814e-13,0,0,0,1200,7207.0688789,833.333333333,811.606657143,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0,26,1,720,2880,4.11887413065e-10
2025-09-01,stochastic,True,1.13686837722e-13,8.38440428197e-13,0,0,0,1200,10800,833.333333333,720.86952381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,3.41954723526e-05,35,2,720,2880,1.07320374809e-10
2025-09-02,stochastic,True,1.13686837722e-13,8.66862137627e-13,0,0,0,1200,10425.5741025,833.333333333,757.204583333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000411420920967,30,1,576,2880,7.27595761418e-12
2025-09-03,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,7690.27583957,833.333333333,744.197083333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.8333167578e-05,30,1,576,2880,9.32232069317e-12
2025-09-04,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7757.12391817,833.333333333,736.58625,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.02488892409e-05,37,2,720,2880,5.39353095519e-09
2025-09-05,stochastic,True,1.13686837722e-13,3.41060513165e-13,0,0,0,2772.40329553,10800,833.333333333,517.446988095,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,5.93630685614e-05,32,2,720,2880,2.53294274444e-10
2025-09-06,stochastic,True,1.13686837722e-13,7.95807864051e-13,0,0,0,4178.99917989,10800,833.333333333,523.134959524,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000754999183706,28,1,576,2880,2.92175172945e-11
2025-09-07,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6835.55128254,830.388507143,784.779245238,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000262664461155,18,1,576,2880,2.29954594033e-07
2025-09-08,stochastic,True,1.13686837722e-13,4.33431068814e-13,0,0,0,1200,6360.84325666,833.333333333,778.845802381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.27940761719e-05,24,1,576,2880,7.04254606429e-08
2025-09-09,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6576.48317416,833.333333333,816.389538095,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000127281623181,40,2,720,2880,4.42110348331e-10
2025-09-10,stochastic,True,1.13686837722e-13,3.5527136788e-13,0,0,0,1200,6183.08814244,833.333333333,808.297083333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000363673246605,25,1,720,2880,1.24373400467e-10
2025-09-11,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7873.19401914,833.333333333,783.475616667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00039150465509,28,1,576,2880,6.26278051641e-09
2025-09-12,stochastic,True,1.13686837722e-13,6.8212102633e-13,0,0,0,1511.39678009,10800,833.333333333,583.222316667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000301500694482,26,1,432,2880,3.04680725094e-10
2025-09-13,stochastic,True,1.13686837722e-13,5.68434188608e-13,0,0,0,4356.21746344,10800,828.151016667,532.725828571,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000197119027605,26,1,576,2880,5.01552221976e-09
2025-09-14,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6972.39293616,831.901271429,817.9024,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000275643808206,27,2,720,2880,3.66071617464e-11
2025-09-15,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7197.46614254,833.333333333,826.723333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000492500485345,33,1,720,2880,1.81898940355e-11
2025-09-16,stochastic,True,2.27373675443e-13,4.10338429901e-13,0,0,0,1200,6569.96807728,829.403347619,813.1518,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000250389773121,38,1,576,2880,4.22915036324e-10
2025-09-17,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,6743.77612043,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000344831897369,43,1,720,2880,1.21303855849e-10
2025-09-18,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,6432.21386405,833.333333333,833.183133333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000514374539853,47,1,576,2880,5.45696821064e-12
2025-09-19,stochastic,True,1.42108547152e-13,5.68434188608e-13,0,0,0,1477.10753426,10800,833.333333333,538.350157143,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000357953906873,36,1,720,2880,1.40289557748e-10
2025-09-20,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,4190.8597681,10800,798.552600537,572.088333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00023101402892,23,1,576,2880,7.25322024664e-10
2025-09-21,stochastic,True,1.13686837722e-13,4.05009359383e-13,0,0,0,1200,7637.1349424,833.333333333,801.631666667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00023986008623,30,2,720,2880,2.26236807066e-10
